,Recall,pQ1,pQ2,pQ3,pQ4,pQ5,pQ6,pQ7,pQ8,pQ9,pQ10,pQ11,pQ12,pQ13,pQ14,pQ15,pQ16,pQ17,pQ18,pQ19,pQ20,pQ21,pQ22,pQ23,pQ24,pQ25,pQ26,pQ27,pQ28,pQ29,pQ30,pQ31,pQ32,pQ33,pQ34,pQ35,pQ36,pQ37,pQ38,pQ39,pQ40,pQ41,pQ42,pQ43,pQ44,pQ45,pQ46,pQ47,pQ48,pQ49,pQ50,pQ51,pQ52,pQ53,pQ54,pQ55,pQ56,pQ57,pQ58,pQ59,pQ60,pQ61,pQ62,pQ63,pQ64,pQ65,pQ66,pQ67,pQ68,pQ69,pQ70,pQ71,pQ72,pQ73,pQ74,pQ75,pQ76,pQ77,pQ78,pQ79,pQ80,pQ81,pQ82,pQ83,pQ84,pQ85,pQ86,pQ87,pQ88,pQ89,pQ90,pQ91,pQ92,pQ94,pQ95,pQ96,pQ97,pQ98,pQ99,pQ100,pi
0,0,33.33333333333333,50.0,50.0,14.285714285714285,100.0,100.0,100.0,11.11111111111111,100.0,55.55555555555556,100.0,3.0303030303030303,100.0,100.0,100.0,100.0,100.0,100.0,11.842105263157894,100.0,100.0,100.0,33.33333333333333,100.0,100.0,100.0,100.0,100.0,18.181818181818183,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,14.285714285714285,100.0,27.27272727272727,66.66666666666666,100.0,100.0,100.0,100.0,100.0,25.0,28.125,100.0,100.0,100.0,100.0,100.0,100.0,25.0,100.0,100.0,100.0,35.714285714285715,100.0,100.0,100.0,100.0,50.0,100.0,100.0,50.0,33.33333333333333,100.0,100.0,100.0,85.71428571428571,100.0,100.0,100.0,100.0,100.0,66.66666666666666,42.857142857142854,100.0,100.0,26.666666666666668,100.0,100.0,18.181818181818183,100.0,25.0,20.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,66.66666666666666,100.0,100.0,100.0,81.69519442545759
1,10,33.33333333333333,50.0,19.565217391304348,14.285714285714285,70.0,75.0,19.35483870967742,2.4344569288389515,50.0,55.55555555555556,100.0,3.0303030303030303,100.0,34.375,66.66666666666666,38.55421686746988,32.35294117647059,85.71428571428571,11.842105263157894,100.0,100.0,80.0,16.216216216216218,23.52941176470588,50.0,66.66666666666666,100.0,37.5,17.073170731707318,50.0,60.0,14.285714285714285,100.0,100.0,66.66666666666666,100.0,94.73684210526315,0.0,44.642857142857146,24.65753424657534,66.66666666666666,100.0,78.57142857142857,76.92307692307693,42.857142857142854,66.66666666666666,9.714285714285714,28.125,100.0,100.0,30.48780487804878,100.0,75.0,77.77777777777779,5.263157894736842,6.896551724137931,83.33333333333334,83.33333333333334,33.9622641509434,17.94871794871795,73.33333333333333,48.38709677419355,20.51282051282051,31.818181818181817,45.45454545454545,27.083333333333332,38.46153846153847,7.462686567164178,100.0,100.0,100.0,85.71428571428571,50.0,100.0,75.0,66.66666666666666,17.741935483870968,66.66666666666666,33.33333333333333,80.0,100.0,25.0,32.0,100.0,12.5,50.0,20.0,20.0,100.0,100.0,33.02752293577982,80.76923076923077,35.714285714285715,100.0,50.0,66.66666666666666,66.66666666666666,100.0,100.0,57.086340606686974
2,20,30.76923076923077,50.0,19.565217391304348,14.285714285714285,37.254901960784316,35.714285714285715,19.35483870967742,2.4344569288389515,18.75,50.0,75.0,2.7522935779816518,24.0,34.090909090909086,38.095238095238095,34.72222222222222,23.52941176470588,85.71428571428571,11.842105263157894,100.0,17.142857142857142,28.125,11.428571428571429,10.606060606060606,32.5,53.84615384615385,13.636363636363635,30.555555555555557,16.363636363636363,29.411764705882355,16.666666666666664,9.210526315789473,85.71428571428571,66.66666666666666,60.0,11.11111111111111,85.18518518518519,0.0,42.5,24.074074074074073,45.45454545454545,30.555555555555557,70.0,57.99999999999999,26.31578947368421,66.66666666666666,9.714285714285714,28.125,42.857142857142854,15.789473684210526,28.205128205128204,100.0,38.095238095238095,43.90243902439025,2.878787878787879,5.421686746987952,81.81818181818183,66.66666666666666,28.155339805825243,17.94871794871795,68.18181818181817,39.189189189189186,20.51282051282051,13.953488372093023,36.36363636363637,27.083333333333332,38.46153846153847,5.8626465661641545,100.0,30.76923076923077,50.0,85.71428571428571,40.0,100.0,75.0,44.44444444444444,17.741935483870968,41.02564102564102,22.857142857142858,53.84615384615385,26.08695652173913,25.0,32.0,83.33333333333334,6.578947368421052,37.03703703703704,16.666666666666664,16.666666666666664,35.714285714285715,100.0,33.02752293577982,59.09090909090909,30.508474576271187,100.0,50.0,44.44444444444444,8.695652173913043,100.0,60.0,39.747964017717585
3,30,25.49019607843137,11.11111111111111,11.475409836065573,14.285714285714285,36.36363636363637,21.62162162162162,6.172839506172839,2.4344569288389515,12.5,43.47826086956522,60.0,2.7522935779816518,15.09433962264151,25.0,0.0,32.926829268292686,20.98765432098765,77.77777777777779,11.842105263157894,100.0,7.920792079207921,0.0,8.904109589041095,7.246376811594203,25.0,36.666666666666664,2.631578947368421,0.0,0.0,28.57142857142857,13.47517730496454,6.172839506172839,75.0,54.54545454545454,29.166666666666668,8.823529411764707,72.09302325581395,0.0,34.24657534246575,23.809523809523807,45.45454545454545,11.594202898550725,49.25373134328358,38.59649122807017,17.5,13.636363636363635,9.523809523809524,23.809523809523807,37.93103448275862,10.16949152542373,27.00729927007299,100.0,38.095238095238095,43.75,2.878787878787879,4.862579281183932,81.81818181818183,53.44827586206896,22.018348623853214,8.73015873015873,34.92063492063492,31.690140845070424,14.814814814814813,12.781954887218044,29.72972972972973,16.55629139072848,38.46153846153847,5.8626465661641545,50.0,30.76923076923077,50.0,85.71428571428571,33.33333333333333,21.428571428571427,63.63636363636363,26.08695652173913,14.606741573033707,34.78260869565217,22.857142857142858,28.000000000000004,16.071428571428573,21.27659574468085,17.894736842105264,83.33333333333334,6.578947368421052,35.294117647058826,14.130434782608695,3.2846715328467155,31.57894736842105,100.0,32.51748251748251,24.375,30.508474576271187,10.0,40.0,44.44444444444444,2.684563758389262,100.0,17.391304347826086,29.121853751339135
4,40,24.615384615384617,11.11111111111111,10.227272727272728,14.285714285714285,0.0,14.925373134328357,5.9405940594059405,2.4344569288389515,12.5,22.916666666666664,60.0,2.7522935779816518,12.195121951219512,19.82758620689655,0.0,27.509293680297397,15.2317880794702,63.1578947368421,11.842105263157894,82.6086956521739,5.46218487394958,0.0,8.108108108108109,4.416403785488959,20.192307692307693,29.166666666666668,2.631578947368421,0.0,0.0,25.925925925925924,5.010438413361169,4.318936877076411,63.888888888888886,36.0,29.166666666666668,8.695652173913043,63.63636363636363,0.0,29.68036529680365,21.95945945945946,8.974358974358974,6.666666666666667,45.55555555555556,29.55665024630542,9.473684210526317,10.526315789473683,7.386363636363637,15.217391304347828,10.56338028169014,10.16949152542373,25.586854460093893,100.0,35.714285714285715,34.065934065934066,2.878787878787879,4.862579281183932,60.526315789473685,43.18181818181818,18.597560975609756,8.597285067873303,22.30769230769231,25.660377358490567,5.147058823529411,10.679611650485436,27.586206896551722,16.352201257861633,35.294117647058826,5.8626465661641545,19.444444444444446,30.76923076923077,37.5,85.71428571428571,33.33333333333333,21.428571428571427,52.94117647058824,2.3890784982935154,8.967391304347826,29.245283018867923,21.686746987951807,28.000000000000004,7.5,17.73049645390071,17.894736842105264,43.75,6.578947368421052,34.54545454545455,10.493827160493826,3.2846715328467155,26.923076923076923,92.3076923076923,31.57894736842105,16.455696202531644,30.508474576271187,3.076923076923077,15.151515151515152,30.0,2.684563758389262,100.0,2.3333333333333335,22.965155462363718
5,50,19.35483870967742,1.41643059490085,7.119741100323624,14.285714285714285,0.0,10.317460317460316,4.1558441558441555,2.4344569288389515,11.666666666666666,21.21212121212121,45.83333333333333,1.4705882352941175,10.15625,16.470588235294116,0.0,21.844660194174757,13.793103448275861,63.1578947368421,11.702127659574469,64.86486486486487,5.46218487394958,0.0,4.931506849315069,4.07673860911271,14.285714285714285,0.0,2.631578947368421,0.0,0.0,20.930232558139537,4.119318181818182,3.3989266547406083,47.61904761904761,33.33333333333333,8.333333333333332,4.545454545454546,39.516129032258064,0.0,21.83288409703504,18.9873417721519,7.339449541284404,4.8359240069084635,34.48275862068966,25.63176895306859,4.780876494023905,6.41025641025641,6.976744186046512,13.636363636363635,9.137055837563452,8.38709677419355,24.897119341563787,0.42194092827004215,29.268292682926827,28.205128205128204,2.878787878787879,4.862579281183932,53.84615384615385,29.81366459627329,17.142857142857142,8.597285067873303,18.32460732984293,24.159021406727827,5.147058823529411,8.873720136518772,18.6046511627907,13.733905579399142,21.052631578947366,5.8626465661641545,14.814814814814813,27.27272727272727,9.090909090909092,29.03225806451613,33.33333333333333,1.6129032258064515,26.190476190476193,1.610541727672035,7.632398753894081,22.598870056497177,20.0,16.363636363636363,3.8461538461538463,10.884353741496598,17.894736842105264,42.857142857142854,6.425702811244979,27.77777777777778,9.45945945945946,3.2846715328467155,22.22222222222222,47.05882352941176,30.099009900990097,14.883720930232558,0.0,0.9784735812133072,5.343511450381679,30.0,2.684563758389262,100.0,2.3333333333333335,16.163204867232274
6,60,17.21311475409836,1.41643059490085,5.739514348785872,7.142857142857142,0.0,7.804878048780488,3.78619153674833,0.0,11.666666666666666,7.142857142857142,38.88888888888889,1.4705882352941175,4.189944134078212,14.847161572052403,0.0,0.0,9.549071618037134,52.0,9.395973154362416,45.90163934426229,2.21606648199446,0.0,0.0,3.885480572597137,12.355212355212355,0.0,2.631578947368421,0.0,0.0,8.461538461538462,0.0,3.3989266547406083,39.77272727272727,22.429906542056074,5.806451612903226,3.5502958579881656,35.50295857988166,0.0,0.0,14.858096828046744,2.5906735751295336,4.5822102425876015,26.94063926940639,21.13022113022113,4.416403785488959,5.263157894736842,6.153846153846154,8.071748878923767,5.9620596205962055,4.705882352941177,21.92192192192192,0.42194092827004215,29.166666666666668,24.516129032258064,2.878787878787879,4.862579281183932,49.23076923076923,23.983739837398375,16.666666666666664,0.0,10.473815461346634,22.16624685138539,4.633204633204633,7.192575406032482,16.6189111747851,11.200000000000001,16.363636363636363,5.8626465661641545,3.9840637450199203,9.649122807017543,9.090909090909092,29.03225806451613,26.82926829268293,1.524390243902439,11.818181818181818,1.610541727672035,6.9252077562326875,18.007662835249043,12.5,10.714285714285714,3.7946428571428568,8.533916849015318,11.299435028248588,27.77777777777778,5.539358600583091,23.96694214876033,9.163346613545817,3.2846715328467155,22.0,45.94594594594595,0.0,12.866449511400651,0.0,0.8559201141226819,4.3478260869565215,12.727272727272727,0.0,1.4285714285714286,2.3333333333333335,10.995488897022963
7,70,7.228915662650602,1.41643059490085,5.414551607445008,5.384615384615385,0.0,5.120481927710843,3.418803418803419,0.0,10.81081081081081,5.172413793103448,35.55555555555556,1.4705882352941175,3.8288288288288284,11.016949152542372,0.0,0.0,5.743740795287187,41.66666666666667,7.017543859649122,12.099644128113878,0.0,0.0,0.0,3.22108345534407,9.39947780678851,0.0,0.0,0.0,0.0,3.8095238095238098,0.0,2.9577464788732395,26.845637583892618,11.864406779661017,3.205128205128205,3.4934497816593884,24.731182795698924,0.0,0.0,0.0,1.854974704890388,4.5822102425876015,0.0,18.53932584269663,3.8363171355498724,2.2033898305084745,6.153846153846154,6.231454005934718,3.901734104046243,4.285714285714286,20.96177558569667,0.42194092827004215,17.708333333333336,15.384615384615385,2.878787878787879,4.862579281183932,45.0,23.28767123287671,15.236686390532544,0.0,6.535947712418301,18.727915194346288,0.0,6.3247863247863245,15.198237885462554,10.135135135135135,8.19672131147541,5.8626465661641545,1.936619718309859,7.792207792207792,0.8321775312066574,11.235955056179774,16.049382716049383,1.524390243902439,6.837606837606838,0.0,0.0,13.602015113350127,10.264900662251655,0.0,3.349282296650718,7.511045655375552,7.621951219512195,20.689655172413794,4.129263913824058,17.36842105263158,7.277628032345014,2.604166666666667,12.903225806451612,33.89830508474576,0.0,0.0,0.0,0.0,1.9396551724137931,8.88888888888889,0.0,1.4285714285714286,2.237136465324385,7.294236122184716
8,80,3.8461538461538463,0.0,5.124450951683748,4.878048780487805,0.0,2.9453015427769986,2.909090909090909,0.0,5.263157894736842,4.133858267716536,0.0,1.3303769401330376,3.6968576709796674,6.484149855907781,0.0,0.0,0.0,7.083333333333333,3.821656050955414,10.979228486646884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.569321533923304,8.443271767810026,0.0,3.4934497816593884,0.0,0.0,0.0,0.0,1.5931372549019607,0.0,0.0,15.251989389920425,3.1141868512110724,0.0,6.0606060606060606,2.9940119760479043,3.761348897535668,2.6785714285714284,20.62937062937063,0.42194092827004215,11.046511627906977,10.365853658536585,0.0,4.737732656514383,34.166666666666664,18.90547263681592,14.702154626109,0.0,0.0,15.81769436997319,0.0,5.555555555555555,11.84407796101949,7.008086253369273,2.771362586605081,0.0,0.0,5.204460966542751,0.8321775312066574,6.962025316455696,3.0303030303030303,0.0,5.69620253164557,0.0,0.0,10.385259631490786,7.172131147540983,0.0,0.0,7.511045655375552,6.7357512953367875,4.4520547945205475,3.2679738562091507,12.297734627831716,5.70902394106814,1.4925373134328357,6.008583690987124,29.11392405063291,0.0,0.0,0.0,0.0,1.0822510822510822,4.639175257731959,0.0,1.187648456057007,2.237136465324385,4.105509497691388
9,90,0.0,0.0,4.581901489117984,0.0,0.0,2.813299232736573,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.7475345167652856,3.5149384885764503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.661064425770308,0.0,6.0606060606060606,0.0,0.0,0.0,20.62937062937063,0.42194092827004215,7.167235494880546,7.977207977207977,0.0,4.328358208955224,18.775510204081634,13.169984686064318,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4344569288389515,0.0,0.0,3.87409200968523,0.8321775312066574,2.7649769585253456,0.0,0.0,4.8346055979643765,0.0,0.0,8.793969849246231,0.0,0.0,0.0,0.0,4.64,4.032258064516129,0.0,6.748466257668712,4.9504950495049505,1.4925373134328357,2.9465930018416207,0.0,0.0,0.0,0.0,0.0,0.0,1.5827338129496402,0.0,1.187648456057007,2.237136465324385,1.5070818145370215
