,Recall,pQ1,pQ2,pQ3,pQ4,pQ5,pQ6,pQ7,pQ8,pQ9,pQ10,pQ11,pQ12,pQ13,pQ14,pQ15,pQ16,pQ17,pQ18,pQ19,pQ20,pQ21,pQ22,pQ23,pQ24,pQ25,pQ26,pQ27,pQ28,pQ29,pQ30,pQ31,pQ32,pQ33,pQ34,pQ35,pQ36,pQ37,pQ38,pQ39,pQ40,pQ41,pQ42,pQ43,pQ44,pQ45,pQ46,pQ47,pQ48,pQ49,pQ50,pQ51,pQ52,pQ53,pQ54,pQ55,pQ56,pQ57,pQ58,pQ59,pQ60,pQ61,pQ62,pQ63,pQ64,pQ65,pQ66,pQ67,pQ68,pQ69,pQ70,pQ71,pQ72,pQ73,pQ74,pQ75,pQ76,pQ77,pQ78,pQ79,pQ80,pQ81,pQ82,pQ83,pQ84,pQ85,pQ86,pQ87,pQ88,pQ89,pQ90,pQ91,pQ92,pQ94,pQ95,pQ96,pQ97,pQ98,pQ99,pQ100,pi
0,0,31.818181818181817,40.0,100.0,33.33333333333333,100.0,100.0,100.0,13.333333333333334,100.0,57.14285714285714,100.0,2.6143790849673203,100.0,100.0,100.0,100.0,100.0,100.0,10.344827586206897,100.0,100.0,100.0,7.4074074074074066,50.0,80.0,80.0,100.0,50.0,100.0,100.0,100.0,100.0,100.0,100.0,57.14285714285714,50.0,100.0,100.0,100.0,38.095238095238095,100.0,100.0,100.0,100.0,100.0,60.0,40.0,25.0,100.0,100.0,100.0,100.0,100.0,100.0,22.22222222222222,50.0,100.0,100.0,50.0,50.0,100.0,100.0,100.0,42.857142857142854,100.0,40.0,50.0,100.0,100.0,100.0,100.0,85.71428571428571,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,40.0,100.0,25.0,28.57142857142857,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,82.9353282253481
1,10,31.818181818181817,40.0,38.46153846153847,33.33333333333333,59.25925925925925,75.0,50.0,2.293577981651376,28.57142857142857,57.14285714285714,100.0,2.6143790849673203,75.0,46.666666666666664,73.33333333333333,38.333333333333336,46.15384615384615,83.33333333333334,10.344827586206897,100.0,75.0,72.72727272727273,6.896551724137931,22.22222222222222,54.54545454545454,80.0,100.0,42.857142857142854,26.31578947368421,50.0,66.66666666666666,12.903225806451612,100.0,72.72727272727273,57.14285714285714,50.0,87.09677419354838,42.10526315789473,58.620689655172406,28.30188679245283,50.0,100.0,76.47058823529412,75.0,50.0,60.0,11.904761904761903,25.0,100.0,100.0,72.22222222222221,100.0,100.0,69.23076923076923,18.75,28.57142857142857,83.33333333333334,92.85714285714286,37.254901960784316,12.0,76.92307692307693,47.05882352941176,44.44444444444444,35.0,36.666666666666664,26.0,50.0,45.45454545454545,100.0,100.0,100.0,85.71428571428571,100.0,100.0,75.0,66.66666666666666,20.33898305084746,64.28571428571429,35.714285714285715,83.33333333333334,83.33333333333334,44.0,34.61538461538461,100.0,31.57894736842105,45.45454545454545,25.0,28.57142857142857,100.0,100.0,38.372093023255815,77.77777777777779,83.33333333333334,100.0,50.0,66.66666666666666,100.0,100.0,100.0,60.219075252478085
2,20,31.818181818181817,40.0,15.254237288135593,16.666666666666664,36.84210526315789,27.77777777777778,20.689655172413794,2.293577981651376,27.27272727272727,50.0,62.5,2.6143790849673203,55.55555555555556,35.8974358974359,36.206896551724135,31.952662721893493,20.0,83.33333333333334,10.344827586206897,100.0,17.94871794871795,45.45454545454545,6.598984771573605,11.11111111111111,28.333333333333332,41.17647058823529,9.75609756097561,31.428571428571427,22.641509433962266,50.0,54.54545454545454,8.641975308641975,78.94736842105263,72.72727272727273,57.14285714285714,10.0,87.09677419354838,36.666666666666664,50.0,24.022346368715084,50.0,29.411764705882355,66.66666666666666,67.44186046511628,33.33333333333333,55.55555555555556,10.92436974789916,22.727272727272727,88.88888888888889,25.0,64.47368421052632,100.0,33.33333333333333,40.0,8.928571428571429,17.5,78.57142857142857,73.07692307692307,29.357798165137616,8.860759493670885,65.21739130434783,37.2093023255814,18.181818181818183,22.22222222222222,33.75,26.0,38.88888888888889,14.285714285714285,66.66666666666666,33.33333333333333,66.66666666666666,85.71428571428571,66.66666666666666,66.66666666666666,75.0,45.45454545454545,13.821138211382115,58.333333333333336,35.714285714285715,58.333333333333336,54.54545454545454,35.13513513513514,34.61538461538461,83.33333333333334,11.267605633802818,37.03703703703704,12.931034482758621,28.57142857142857,66.66666666666666,100.0,31.372549019607842,71.7948717948718,50.0,100.0,27.27272727272727,50.0,4.761904761904762,100.0,75.0,43.00751191098102
3,30,26.82926829268293,8.108108108108109,14.772727272727273,14.285714285714285,34.67741935483871,18.0,9.090909090909092,2.293577981651376,19.047619047619047,44.44444444444444,60.0,2.6143790849673203,28.57142857142857,30.0,29.629629629629626,31.952662721893493,16.51376146788991,77.77777777777779,10.344827586206897,100.0,16.666666666666664,31.428571428571427,6.598984771573605,10.204081632653061,28.333333333333332,40.74074074074074,9.75609756097561,22.857142857142858,19.753086419753085,50.0,20.224719101123593,6.8493150684931505,78.26086956521739,45.16129032258064,45.45454545454545,8.108108108108109,83.33333333333334,32.6530612244898,46.728971962616825,23.655913978494624,46.15384615384615,7.614213197969544,49.25373134328358,53.40909090909091,20.0,17.647058823529413,8.636363636363637,22.727272727272727,57.89473684210527,17.77777777777778,57.936507936507944,100.0,32.142857142857146,37.704918032786885,5.633802816901409,9.345794392523365,74.07407407407408,70.45454545454545,22.797927461139896,7.6923076923076925,33.33333333333333,31.46853146853147,15.053763440860216,18.6046511627907,33.33333333333333,19.19191919191919,38.88888888888889,10.294117647058822,45.45454545454545,30.0,66.66666666666666,85.71428571428571,37.5,21.428571428571427,70.0,18.75,11.02661596958175,52.0,22.807017543859647,35.483870967741936,17.647058823529413,28.985507246376812,18.64406779661017,83.33333333333334,7.228915662650602,36.0,12.931034482758621,4.901960784313726,35.294117647058826,100.0,31.372549019607842,52.702702702702695,33.33333333333333,6.521739130434782,22.22222222222222,35.714285714285715,3.546099290780142,100.0,22.22222222222222,33.072941174625996
4,40,26.153846153846157,8.108108108108109,10.714285714285714,14.285714285714285,28.64864864864865,15.384615384615385,6.70391061452514,2.293577981651376,13.636363636363635,22.448979591836736,60.0,2.6143790849673203,28.205128205128204,23.52941176470588,0.0,27.36156351791531,13.953488372093023,75.0,10.344827586206897,90.47619047619048,10.476190476190476,21.16788321167883,6.41025641025641,7.926829268292683,24.137931034482758,16.853932584269664,2.4024024024024024,0.0,19.148936170212767,33.33333333333333,15.286624203821656,4.416403785488959,63.888888888888886,43.24324324324324,26.08695652173913,7.142857142857142,79.24528301886792,0.0,40.37267080745342,22.18045112781955,6.730769230769231,6.440677966101695,44.086021505376344,46.51162790697674,20.0,15.09433962264151,8.430232558139535,21.311475409836063,25.0,7.909604519774012,41.25,100.0,30.76923076923077,33.78378378378378,3.3557046979865772,5.803571428571429,68.75,51.35135135135135,20.62937062937063,7.0754716981132075,24.369747899159663,27.230046948356808,6.866952789699571,13.125,25.274725274725274,15.294117647058824,38.88888888888889,6.622516556291391,13.20754716981132,30.0,50.0,85.71428571428571,29.03225806451613,21.428571428571427,50.0,2.0671834625323,10.670731707317072,46.3768115942029,21.11111111111111,19.17808219178082,16.0,24.561403508771928,17.346938775510203,40.0,6.329113924050633,35.84905660377358,9.937888198757763,3.3707865168539324,33.33333333333333,92.85714285714286,30.65217391304348,25.0,29.166666666666668,1.7316017316017316,12.82051282051282,35.714285714285715,2.450980392156863,100.0,2.314814814814815,25.694571960158687
5,50,23.376623376623375,1.1655011655011656,7.213114754098362,13.513513513513514,0.0,13.131313131313133,4.292929292929292,2.293577981651376,13.636363636363635,19.696969696969695,42.30769230769231,2.6143790849673203,26.53061224489796,18.064516129032256,0.0,25.495750708215297,11.200000000000001,50.0,10.344827586206897,60.0,8.441558441558442,0.0,6.41025641025641,6.2745098039215685,18.439716312056735,15.887850467289718,2.4024024024024024,0.0,0.0,27.27272727272727,12.554112554112553,4.383561643835616,48.333333333333336,27.27272727272727,6.25,3.816793893129771,59.523809523809526,0.0,34.177215189873415,21.09826589595376,4.807692307692308,6.41025641025641,40.65040650406504,40.0,13.580246913580247,7.086614173228346,7.804878048780488,14.150943396226415,15.929203539823009,7.909604519774012,36.91860465116279,0.3929273084479371,30.76923076923077,26.400000000000002,2.513227513227513,4.852686308492201,49.056603773584904,41.02564102564102,17.804878048780488,7.07395498392283,21.052631578947366,23.364485981308412,4.794520547945205,12.796208530805686,24.637681159420293,14.545454545454545,17.391304347826086,6.292517006802721,10.256410256410255,30.0,8.16326530612245,25.71428571428571,29.03225806451613,4.301075268817205,23.91304347826087,1.675977653631285,8.284023668639055,36.11111111111111,20.634920634920633,14.87603305785124,8.064516129032258,24.427480916030532,17.346938775510203,36.0,6.329113924050633,28.57142857142857,8.27814569536424,3.0201342281879198,23.404255319148938,44.11764705882353,29.980276134122285,17.391304347826086,27.058823529411764,1.4705882352941175,5.833333333333333,24.0,2.450980392156863,100.0,2.1406727828746175,17.881585580894466
6,60,14.285714285714285,1.1655011655011656,6.122448979591836,9.090909090909092,0.0,8.333333333333332,4.292929292929292,2.293577981651376,10.606060606060606,16.666666666666664,36.84210526315789,1.4423076923076923,15.53398058252427,15.137614678899084,0.0,20.801526717557252,8.923884514435695,41.17647058823529,9.929078014184398,30.107526881720432,6.6115702479338845,0.0,5.898123324396782,4.976303317535545,14.15929203539823,0.0,2.4024024024024024,0.0,0.0,10.784313725490197,6.2717770034843205,3.982300884955752,40.229885057471265,26.08695652173913,5.844155844155844,3.3333333333333335,34.831460674157306,0.0,24.68513853904282,18.495934959349594,4.807692307692308,4.694835680751173,25.43103448275862,25.688073394495415,3.731343283582089,6.0606060606060606,7.037037037037037,12.76595744680851,8.627450980392156,4.146341463414634,36.31961259079903,0.3929273084479371,22.535211267605636,21.910112359550563,2.513227513227513,4.852686308492201,47.14285714285714,33.33333333333333,16.75485008818342,7.07395498392283,14.634146341463413,20.967741935483872,4.7272727272727275,9.495548961424333,16.43835616438356,13.013698630136986,16.071428571428573,6.292517006802721,5.747126436781609,9.230769230769232,8.16326530612245,25.71428571428571,22.0,1.1441647597254003,9.701492537313433,1.5424164524421593,7.212205270457697,25.405405405405407,20.634920634920633,14.000000000000002,3.648068669527897,14.901960784313726,9.70873786407767,23.91304347826087,6.329113924050633,22.65625,8.27814569536424,3.0201342281879198,23.404255319148938,42.5,0.0,14.446529080675422,0.0,1.1456628477905073,5.228758169934641,10.714285714285714,2.450980392156863,1.4388489208633095,2.1406727828746175,12.173999385841581
7,70,5.797101449275362,1.1655011655011656,4.71841704718417,5.785123966942149,0.0,4.9275362318840585,3.056768558951965,0.0,10.0,6.428571428571428,34.78260869565217,1.4423076923076923,12.408759124087592,12.225705329153605,0.0,0.0,5.485232067510549,34.883720930232556,4.9079754601226995,20.37037037037037,3.8793103448275863,0.0,4.3478260869565215,4.365079365079365,11.688311688311687,0.0,2.4024024024024024,0.0,0.0,10.256410256410255,0.0,3.2835820895522385,27.972027972027973,11.666666666666666,3.4722222222222223,2.909090909090909,27.6,0.0,0.0,14.74269819193324,2.9023746701846966,4.551724137931035,0.0,20.28688524590164,3.731343283582089,2.589641434262948,6.71875,7.006369426751593,4.391891891891892,3.8461538461538463,32.25190839694657,0.3929273084479371,19.318181818181817,19.81981981981982,2.513227513227513,4.852686308492201,43.90243902439025,23.12925170068027,16.50485436893204,0.0,6.882022471910113,20.158102766798418,3.5264483627204033,7.265774378585086,14.61864406779661,11.004784688995215,10.638297872340425,6.292517006802721,2.564102564102564,9.230769230769232,0.8032128514056224,10.1010101010101,7.142857142857142,1.1441647597254003,7.614213197969544,1.5424164524421593,6.561085972850679,16.875,11.231884057971014,7.100591715976331,3.0303030303030303,10.945273631840797,6.596306068601583,21.428571428571427,5.542168674698795,19.411764705882355,6.277056277056277,2.941176470588235,17.647058823529413,38.46153846153847,0.0,12.36111111111111,0.0,1.1456628477905073,1.4539579967689822,10.714285714285714,2.335456475583864,1.4388489208633095,2.044989775051125,8.50257765642526
8,80,3.3918128654970756,0.0,4.609475032010243,3.3057851239669422,0.0,3.8461538461538463,2.7180067950169877,0.0,3.3962264150943398,4.55531453362256,14.634146341463413,1.4423076923076923,5.681818181818182,7.03125,0.0,0.0,0.0,5.3125,3.5856573705179287,12.012987012987013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.416403785488959,0.0,0.0,11.19221411192214,7.8817733990147785,1.282051282051282,2.909090909090909,18.223234624145785,0.0,0.0,0.0,2.103559870550162,4.493087557603687,0.0,17.546583850931675,2.823920265780731,0.0,6.265984654731457,3.067484662576687,3.820816864295125,3.2457496136012365,26.56675749318801,0.3929273084479371,15.966386554621847,12.468827930174564,0.0,4.852686308492201,33.60655737704918,20.9366391184573,14.105504587155963,0.0,0.0,16.883116883116884,0.0,6.386292834890965,12.80388978930308,9.695817490494296,2.536997885835095,6.292517006802721,0.0,6.965174129353234,0.8032128514056224,6.875000000000001,2.459016393442623,0.7509386733416771,5.714285714285714,0.0,0.0,11.842105263157894,6.39853747714808,0.0,2.8151774785801713,8.143322475570033,6.0402684563758395,4.961832061068702,4.118616144975288,12.341772151898734,5.64516129032258,1.5544041450777202,4.777070063694268,26.136363636363637,0.0,0.0,0.0,0.0,1.0,10.714285714285714,0.0,0.9140767824497258,2.044989775051125,4.861676019273932
9,90,0.0,0.0,4.3624161073825505,0.0,0.0,2.756892230576441,0.0,0.0,0.0,0.0,0.0,0.0,3.2983508245877062,5.246589716684155,0.0,0.0,0.0,3.392857142857143,3.2496307237813884,5.19159456118665,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.832460732984293,0.0,0.0,14.18994413407821,2.334152334152334,0.0,5.88235294117647,0.0,0.0,2.975420439844761,22.210849539406347,0.3929273084479371,5.729166666666666,8.127721335268506,0.0,4.704097116843703,16.312056737588655,17.02970297029703,0.0,0.0,0.0,0.0,0.0,5.463182897862233,10.967741935483872,7.028360049321824,2.2071307300509337,0.0,0.0,5.161290322580645,0.8032128514056224,2.5806451612903225,0.0,0.0,4.439252336448598,0.0,0.0,8.939974457215836,0.0,0.0,0.0,0.0,5.3406998158379375,4.0,0.0,8.1374321880651,5.64516129032258,1.4755959137343928,2.4464831804281344,7.428571428571429,0.0,0.0,0.0,0.0,0.0,1.376720901126408,0.0,0.9140767824497258,2.044989775051125,2.1779768240510875
