,P@5,QueryNumber
0,0.0,1.0
1,40.0,2.0
2,40.0,3.0
3,20.0,4.0
4,80.0,5.0
5,60.0,6.0
6,40.0,7.0
7,0.0,8.0
8,20.0,9.0
9,40.0,10.0
10,80.0,11.0
11,0.0,12.0
12,60.0,13.0
13,40.0,14.0
14,100.0,15.0
15,60.0,16.0
16,40.0,17.0
17,80.0,18.0
18,0.0,19.0
19,100.0,20.0
20,60.0,21.0
21,60.0,22.0
22,0.0,23.0
23,20.0,24.0
24,80.0,25.0
25,80.0,26.0
26,40.0,27.0
27,40.0,28.0
28,40.0,29.0
29,20.0,30.0
30,100.0,31.0
31,60.0,32.0
32,100.0,33.0
33,60.0,34.0
34,40.0,35.0
35,20.0,36.0
36,100.0,37.0
37,60.0,38.0
38,80.0,39.0
39,0.0,40.0
40,40.0,41.0
41,100.0,42.0
42,80.0,43.0
43,80.0,44.0
44,40.0,45.0
45,60.0,46.0
46,40.0,47.0
47,0.0,48.0
48,100.0,49.0
49,80.0,50.0
50,100.0,51.0
51,20.0,52.0
52,60.0,53.0
53,60.0,54.0
54,0.0,55.0
55,40.0,56.0
56,80.0,57.0
57,80.0,58.0
58,40.0,59.0
59,20.0,60.0
60,80.0,61.0
61,40.0,62.0
62,60.0,63.0
63,40.0,64.0
64,20.0,65.0
65,40.0,66.0
66,40.0,67.0
67,80.0,68.0
68,60.0,69.0
69,40.0,70.0
70,40.0,71.0
71,80.0,72.0
72,60.0,73.0
73,40.0,74.0
74,60.0,75.0
75,40.0,76.0
76,40.0,77.0
77,60.0,78.0
78,60.0,79.0
79,80.0,80.0
80,80.0,81.0
81,60.0,82.0
82,40.0,83.0
83,80.0,84.0
84,40.0,85.0
85,40.0,86.0
86,20.0,87.0
87,0.0,88.0
88,60.0,89.0
89,100.0,90.0
90,60.0,91.0
91,100.0,92.0
92,80.0,94.0
93,40.0,95.0
94,40.0,96.0
95,40.0,97.0
96,60.0,98.0
97,60.0,99.0
98,60.0,100.0
