QueryNumber;DocInfos
1;[1, '437', 0.2574959828410601]
1;[2, '498', 0.19657854698349964]
1;[3, '484', 0.1792828364129026]
1;[4, '856', 0.15076985435959717]
1;[5, '754', 0.15021088076388878]
1;[6, '441', 0.1477896500316813]
1;[7, '499', 0.14741714093111496]
1;[8, '925', 0.1448335257250163]
1;[9, '827', 0.14227807086228414]
1;[10, '533', 0.13830421963218226]
1;[11, '481', 0.13697613247533355]
1;[12, '526', 0.13393147995731378]
1;[13, '568', 0.1274547025896679]
1;[14, '302', 0.12448043361788366]
1;[15, '957', 0.12395902860442552]
1;[16, '741', 0.12381556126912746]
1;[17, '1180', 0.12291083080663352]
1;[18, '711', 0.1190680714308182]
1;[19, '151', 0.11873290187778741]
1;[20, '592', 0.1133154969822889]
1;[21, '27', 0.10991063727895059]
1;[22, '461', 0.10956479808351317]
1;[23, '1188', 0.10858155144510365]
1;[24, '311', 0.10818613765081561]
1;[25, '11', 0.10291212315269212]
1;[26, '392', 0.10280675043364118]
1;[27, '53', 0.10178067330156547]
1;[28, '960', 0.09956572812125503]
1;[29, '52', 0.0985335278264124]
1;[30, '40', 0.09595959263027755]
1;[31, '975', 0.0959321755184394]
1;[32, '1107', 0.09577492331887565]
1;[33, '139', 0.09498590318367316]
1;[34, '847', 0.0941136477801789]
1;[35, '463', 0.09364767504262109]
1;[36, '265', 0.09041302461063763]
1;[37, '967', 0.08919533538776146]
1;[38, '1026', 0.08893452601007107]
1;[39, '1064', 0.08867183084429033]
1;[40, '980', 0.08440938470368689]
1;[41, '439', 0.0822502457803323]
1;[42, '511', 0.07754156316007352]
1;[43, '867', 0.07536001709928933]
1;[44, '962', 0.07379620733782861]
1;[45, '189', 0.07223049921156438]
1;[46, '1078', 0.07175204140249956]
1;[47, '823', 0.07037332424627894]
1;[48, '505', 0.0694426999906426]
1;[49, '789', 0.06936590984098902]
1;[50, '1102', 0.06884057421459353]
1;[51, '742', 0.06836298337891158]
1;[52, '159', 0.06807065582752851]
1;[53, '246', 0.06718468866536872]
1;[54, '701', 0.06602530874203202]
1;[55, '459', 0.06597623335482118]
1;[56, '958', 0.06582680297052376]
1;[57, '398', 0.06445844891426555]
1;[58, '950', 0.06434862678307943]
1;[59, '96', 0.0640333059982738]
1;[60, '909', 0.06276580007610336]
1;[61, '527', 0.061765568868392906]
1;[62, '352', 0.06128472072411731]
1;[63, '875', 0.06111180105139427]
1;[64, '501', 0.060817754837490245]
1;[65, '522', 0.06070299574725611]
1;[66, '1081', 0.0585355907467277]
1;[67, '510', 0.058316509492271545]
1;[68, '266', 0.05753359617357566]
1;[69, '564', 0.05740487541740632]
1;[70, '813', 0.05604019947268716]
1;[71, '990', 0.05470605299406988]
1;[72, '277', 0.05464193734436014]
1;[73, '43', 0.05337830213604899]
1;[74, '982', 0.053046955854333916]
1;[75, '166', 0.05249842971001113]
1;[76, '28', 0.05237272990340104]
1;[77, '1112', 0.051276339975859356]
1;[78, '1171', 0.0509241727443879]
1;[79, '776', 0.050781489666704246]
1;[80, '1168', 0.050751653124895574]
1;[81, '582', 0.050565637224384945]
1;[82, '914', 0.05008262044618928]
1;[83, '753', 0.04984661592616901]
1;[84, '478', 0.04979591151663415]
1;[85, '288', 0.04975388276390773]
1;[86, '846', 0.04969403498124941]
1;[87, '1055', 0.04958199665297533]
1;[88, '636', 0.049325274679524765]
1;[89, '959', 0.049231010998850556]
1;[90, '541', 0.048964046554492144]
1;[91, '171', 0.04854975098395246]
1;[92, '157', 0.04842962871335781]
1;[93, '861', 0.048001067246579605]
1;[94, '219', 0.04775182568052562]
1;[95, '1193', 0.047387059061048314]
1;[96, '179', 0.04692808402665119]
1;[97, '523', 0.04648763056965873]
1;[98, '400', 0.04620443502366881]
1;[99, '1238', 0.04616764244614752]
1;[100, '970', 0.04609760535160516]
1;[101, '62', 0.04563972240340112]
1;[102, '317', 0.04509196065559135]
1;[103, '270', 0.044963334914706006]
1;[104, '347', 0.04492153527149164]
1;[105, '458', 0.044726706088620366]
1;[106, '321', 0.044726433077170266]
1;[107, '287', 0.044418640959243985]
1;[108, '147', 0.04422217684243417]
1;[109, '1071', 0.044160670185305104]
1;[110, '502', 0.044145369641265406]
1;[111, '758', 0.04413971675291744]
1;[112, '542', 0.04396166669395869]
1;[113, '804', 0.04393264442762816]
1;[114, '373', 0.043671284495208455]
1;[115, '497', 0.04365673977378487]
1;[116, '109', 0.042128801232423956]
1;[117, '520', 0.04206526408584277]
1;[118, '444', 0.04181753302754853]
1;[119, '1201', 0.04177328263196094]
1;[120, '733', 0.041758708877573165]
1;[121, '531', 0.041751190696071465]
1;[122, '503', 0.041745619267965474]
1;[123, '1062', 0.04147207398324607]
1;[124, '767', 0.041243325505443816]
1;[125, '324', 0.041141258318109025]
1;[126, '1215', 0.040702284360787114]
1;[127, '676', 0.04062183197508602]
1;[128, '850', 0.04057910275727268]
1;[129, '651', 0.04044594658447788]
1;[130, '429', 0.0401195636110194]
1;[131, '55', 0.04003206818628257]
1;[132, '188', 0.03990431477375037]
1;[133, '936', 0.039730918239224054]
1;[134, '163', 0.039321910067345686]
1;[135, '693', 0.0390387408786409]
1;[136, '435', 0.03898167797084581]
1;[137, '67', 0.03865211720914977]
1;[138, '543', 0.038505839237324396]
1;[139, '1036', 0.038065571612366976]
1;[140, '550', 0.03801770491905458]
1;[141, '734', 0.03789215603132963]
1;[142, '1005', 0.03780094532947023]
1;[143, '107', 0.03780076112506015]
1;[144, '1145', 0.0375606079771538]
1;[145, '63', 0.03749273392170087]
1;[146, '386', 0.037422061643821794]
1;[147, '1110', 0.037026067966597444]
1;[148, '848', 0.03679678919557362]
1;[149, '812', 0.03659644816865901]
1;[150, '989', 0.03659056308169253]
1;[151, '964', 0.03656582315620138]
1;[152, '333', 0.036534778468197845]
1;[153, '346', 0.03648521841950341]
1;[154, '538', 0.0364125304833396]
1;[155, '999', 0.03624075847559468]
1;[156, '943', 0.03618953576997706]
1;[157, '788', 0.03597133478570306]
1;[158, '969', 0.03563708927895295]
1;[159, '60', 0.03519718226965496]
1;[160, '1029', 0.03511394132899063]
1;[161, '402', 0.035075924356503266]
1;[162, '1234', 0.03502401417620826]
1;[163, '901', 0.03493733843132143]
1;[164, '164', 0.034780185322986976]
1;[165, '430', 0.03466017707731621]
1;[166, '473', 0.03464361827195538]
1;[167, '177', 0.034628426463930065]
1;[168, '19', 0.03451995437301502]
1;[169, '243', 0.034280260131422]
1;[170, '1227', 0.03414537559981908]
1;[171, '611', 0.034126399294832216]
1;[172, '218', 0.03404409829144296]
1;[173, '239', 0.033960984945156265]
1;[174, '106', 0.0339556252019024]
1;[175, '805', 0.03364838519396801]
1;[176, '118', 0.03363340665682417]
