QueryNumber;DocInfos
1;[1, '437', 0.27588934462955456]
1;[2, '498', 0.20844373959940954]
1;[3, '484', 0.18440699663023122]
1;[4, '754', 0.17310807431022798]
1;[5, '957', 0.16879740146000236]
1;[6, '533', 0.1632402970390091]
1;[7, '827', 0.16185013155337288]
1;[8, '499', 0.15910224566327993]
1;[9, '925', 0.1558234593894249]
1;[10, '441', 0.15500383674927729]
1;[11, '856', 0.15426270422888572]
1;[12, '27', 0.1477653322489673]
1;[13, '592', 0.1441754330952882]
1;[14, '526', 0.1400191211127817]
1;[15, '481', 0.13986090401631557]
1;[16, '741', 0.13018945075058933]
1;[17, '52', 0.12925081151368958]
1;[18, '711', 0.12465358997552164]
1;[19, '392', 0.12412448347889557]
1;[20, '151', 0.12326147559664699]
1;[21, '568', 0.12325777946644492]
1;[22, '461', 0.11979335827224412]
1;[23, '11', 0.11426392535278955]
1;[24, '1188', 0.11019743058404669]
1;[25, '302', 0.11008873364805469]
1;[26, '1180', 0.10781064789043149]
1;[27, '975', 0.10569822765390759]
1;[28, '1078', 0.10322452267256037]
1;[29, '53', 0.10249506417966305]
1;[30, '40', 0.09869208253700937]
1;[31, '1107', 0.09774943072311197]
1;[32, '311', 0.09701063477744562]
1;[33, '960', 0.0969438354860606]
1;[34, '1064', 0.0967574726727351]
1;[35, '139', 0.09593726748825042]
1;[36, '463', 0.09477532817802493]
1;[37, '847', 0.09456546018657275]
1;[38, '505', 0.0940511430500547]
1;[39, '1026', 0.09378343755827166]
1;[40, '967', 0.09316291708374295]
1;[41, '503', 0.09240278104292421]
1;[42, '980', 0.09151658339233633]
1;[43, '265', 0.08901688877764409]
1;[44, '511', 0.0851677643630532]
1;[45, '501', 0.08510807359570591]
1;[46, '950', 0.08491922859317133]
1;[47, '1227', 0.08107020588086769]
1;[48, '789', 0.08091940162888833]
1;[49, '531', 0.0807220100902776]
1;[50, '439', 0.08069514072794175]
1;[51, '867', 0.07956208421805701]
1;[52, '823', 0.07749512854657935]
1;[53, '189', 0.07630511953930906]
1;[54, '563', 0.07612825469855164]
1;[55, '1102', 0.07282876614065095]
1;[56, '945', 0.07208389486203917]
1;[57, '742', 0.06910631223914884]
1;[58, '246', 0.0681525415496271]
1;[59, '701', 0.06811027070956237]
1;[60, '96', 0.06796498844171135]
1;[61, '527', 0.06678122766859981]
1;[62, '875', 0.06646678757045175]
1;[63, '753', 0.0659356168330611]
1;[64, '909', 0.06486169592644873]
1;[65, '522', 0.06475319463707356]
1;[66, '296', 0.06456748155228259]
1;[67, '582', 0.06395861390732983]
1;[68, '734', 0.06390790500201529]
1;[69, '316', 0.063827478321733]
1;[70, '510', 0.06252821054216437]
1;[71, '990', 0.0624708277514957]
1;[72, '943', 0.0621864295253494]
1;[73, '1167', 0.06150297076561541]
1;[74, '266', 0.06147637040276022]
1;[75, '564', 0.06136128859085377]
1;[76, '459', 0.061209055375086814]
1;[77, '502', 0.0603355746448912]
1;[78, '67', 0.0600060126455915]
1;[79, '1092', 0.0598075469146138]
1;[80, '398', 0.059560411318137656]
1;[81, '159', 0.0590351803499179]
1;[82, '844', 0.058469322581268905]
1;[83, '43', 0.05835159487248401]
1;[84, '352', 0.058136143436364474]
1;[85, '277', 0.057948770920543076]
1;[86, '1215', 0.05759370794872505]
1;[87, '542', 0.057283601246561816]
1;[88, '914', 0.05645139619538414]
1;[89, '776', 0.056020279268298424]
1;[90, '318', 0.05600899279108321]
1;[91, '467', 0.05560000277307031]
1;[92, '1081', 0.05501220850892512]
1;[93, '962', 0.054987526321454476]
1;[94, '550', 0.054495242925164215]
1;[95, '846', 0.05416430778120023]
1;[96, '1071', 0.053946565320440655]
1;[97, '154', 0.05326868633257675]
1;[98, '636', 0.05311493721281927]
1;[99, '430', 0.052946873556714076]
1;[100, '1009', 0.05294641798245414]
1;[101, '458', 0.05286685841373241]
1;[102, '166', 0.05273052219802156]
1;[103, '478', 0.051650250831878984]
1;[104, '171', 0.051420019674020705]
1;[105, '969', 0.05129078299513958]
1;[106, '109', 0.050905057947402105]
1;[107, '1055', 0.05055744110198745]
1;[108, '1193', 0.05033161183420328]
1;[109, '958', 0.05031382005874045]
1;[110, '982', 0.05009823784365723]
1;[111, '861', 0.04959035069803424]
1;[112, '1238', 0.04933145951587871]
1;[113, '1029', 0.049311876830757405]
1;[114, '225', 0.04920756816145355]
1;[115, '330', 0.04898069125969778]
1;[116, '555', 0.04883825275959361]
1;[117, '1168', 0.04853310276678765]
1;[118, '838', 0.04851317316455792]
1;[119, '1149', 0.048201947855865804]
1;[120, '270', 0.048138963149432834]
1;[121, '802', 0.04782417141834865]
1;[122, '541', 0.04765178244911788]
1;[123, '810', 0.04749977937462283]
1;[124, '1171', 0.04688026636964819]
1;[125, '199', 0.046790984350797205]
1;[126, '698', 0.04671638954492598]
1;[127, '107', 0.04663342606010829]
1;[128, '813', 0.04652027582927246]
1;[129, '219', 0.04613089210278024]
1;[130, '959', 0.0460498902356715]
1;[131, '1112', 0.04555062669009845]
1;[132, '767', 0.045494622100857016]
1;[133, '179', 0.04537450622374463]
1;[134, '497', 0.045129620545138194]
1;[135, '208', 0.04507551316299825]
1;[136, '1076', 0.04490100284590561]
1;[137, '147', 0.04486993523010379]
1;[138, '62', 0.04481582168246512]
1;[139, '543', 0.04457468398821802]
1;[140, '854', 0.044510588358020985]
1;[141, '28', 0.04449948123628714]
1;[142, '673', 0.04437970773637267]
1;[143, '444', 0.04431042815922289]
1;[144, '788', 0.04427393515660429]
1;[145, '1224', 0.043910469423962706]
1;[146, '1159', 0.04386607188065381]
1;[147, '520', 0.04366294423778867]
1;[148, '1201', 0.043478157530810226]
1;[149, '548', 0.04344498844914541]
1;[150, '287', 0.043004675061558674]
1;[151, '850', 0.04295647621067525]
1;[152, '473', 0.04292088458685815]
1;[153, '347', 0.042832362788059054]
1;[154, '435', 0.04282605704984256]
1;[155, '317', 0.04265652162393381]
1;[156, '1066', 0.042419837048613275]
1;[157, '457', 0.042072022684618945]
1;[158, '690', 0.041966071146177564]
1;[159, '1145', 0.04168815762469112]
1;[160, '617', 0.04139398632460555]
1;[161, '804', 0.04101693226166189]
1;[162, '373', 0.040932535953741744]
1;[163, '288', 0.04078597070086359]
1;[164, '1152', 0.040423749477046175]
1;[165, '1163', 0.040040575452970975]
1;[166, '157', 0.03997840950879609]
1;[167, '60', 0.03995915293745834]
1;[168, '451', 0.03942716474365517]
1;[169, '314', 0.03910565789870101]
1;[170, '137', 0.03891195239791402]
1;[171, '1036', 0.038896956364659376]
1;[172, '63', 0.03867452407569857]
1;[173, '1234', 0.03825085245398617]
1;[174, '85', 0.03781280327771268]
1;[175, '970', 0.03779162961023318]
1;[176, '1035', 0.03772966289203458]
1;[177, '239', 0.03753798818090708]
1;[178, '1005', 0.037453239995328444]
1;[179, '523', 0.03743695024226971]
1;[180, '1012', 0.037298584712514224]
1;[181, '1062', 0.03722773682050417]
1;[182, '429', 0.03712263026912179]
1;[183, '333', 0.03709472524292206]
1;[184, '677', 0.03693913418545139]
1;[185, '696', 0.03684996565120912]
1;[186, '758', 0.036587539523746056]
1;[187, '532', 0.03649287925090245]
1;[188, '55', 0.036380178017118237]
1;[189, '389', 0.03602571556971899]
1;[190, '303', 0.03599280342661185]
1;[191, '450', 0.03592761900269561]
1;[192, '999', 0.03587636423317199]
1;[193, '936', 0.03577376291529395]
1;[194, '611', 0.03572924741936714]
1;[195, '1091', 0.035336054077245875]
1;[196, '321', 0.03519421780189827]
1;[197, '7', 0.03516980054049194]
1;[198, '676', 0.03502062056238395]
1;[199, '496', 0.034974041881063185]
1;[200, '400', 0.034847377469200656]
1;[201, '851', 0.03458370165047744]
1;[202, '629', 0.03456356263421621]
1;[203, '417', 0.034511876621681134]
1;[204, '546', 0.034454318757813095]
1;[205, '281', 0.03434037648637428]
1;[206, '651', 0.03417658886019889]
1;[207, '346', 0.03416759460978453]
1;[208, '1120', 0.03416705407525877]
1;[209, '747', 0.03406253405985714]
1;[210, '594', 0.03403668179877511]
1;[211, '440', 0.034026283084167996]
1;[212, '964', 0.03386927323491074]
1;[213, '402', 0.03362781176244728]
1;[214, '188', 0.03342733945953722]
1;[215, '733', 0.03338008170532232]
1;[216, '912', 0.03314910395828882]
1;[217, '805', 0.03311801193814435]
1;[218, '1110', 0.0329315320932453]
1;[219, '90', 0.03283852618995824]
1;[220, '901', 0.032804784060463166]
1;[221, '559', 0.03275777676990872]
1;[222, '307', 0.03250449330819339]
1;[223, '812', 0.03241509466710126]
1;[224, '596', 0.03240173425323019]
1;[225, '693', 0.03232068908354234]
1;[226, '529', 0.03218161835921711]
1;[227, '1185', 0.032171654882694654]
1;[228, '118', 0.0320428871602055]
1;[229, '1016', 0.03198303163469195]
1;[230, '386', 0.031845399654545324]
1;[231, '989', 0.031830847251755265]
1;[232, '1147', 0.031770640846895744]
1;[233, '177', 0.03175054596026405]
1;[234, '163', 0.03163775073025565]
1;[235, '1118', 0.030906576127704144]
1;[236, '903', 0.0306714820613511]
1;[237, '324', 0.030642669226768296]
1;[238, '918', 0.030412908384138175]
1;[239, '201', 0.030401750080808792]
1;[240, '915', 0.03028562153683888]
1;[241, '1093', 0.030240067130136702]
1;[242, '218', 0.030121824043737117]
1;[243, '19', 0.029854154006748873]
1;[244, '848', 0.029767052690598685]
1;[245, '323', 0.029707544818603424]
1;[246, '334', 0.029558717909458947]
1;[247, '907', 0.02954027761661933]
1;[248, '765', 0.029526229909980665]
1;[249, '114', 0.02947256942443416]
1;[250, '164', 0.02941537977107842]
1;[251, '243', 0.029315445810552225]
1;[252, '244', 0.02930389305783289]
1;[253, '1206', 0.02922790002618955]
1;[254, '652', 0.02908344315573295]
1;[255, '988', 0.029034078007711763]
1;[256, '658', 0.028959422863250782]
1;[257, '876', 0.028811763765767252]
1;[258, '976', 0.028728732459548045]
1;[259, '538', 0.028695883347370006]
1;[260, '836', 0.028645408241146898]
1;[261, '1090', 0.028500956678919033]
1;[262, '51', 0.028328227017705022]
1;[263, '524', 0.028276942643337192]
1;[264, '852', 0.028180087962666883]
1;[265, '1111', 0.028161262538442935]
1;[266, '539', 0.028159758831711217]
1;[267, '106', 0.027890783174267148]
1;[268, '263', 0.027716737128301534]
1;[269, '427', 0.02766214649993285]
1;[270, '956', 0.027606233685382883]
1;[271, '271', 0.02757663932009062]
1;[272, '1059', 0.027471003684053703]
1;[273, '549', 0.027293687315337056]
1;[274, '806', 0.02728734005732767]
1;[275, '366', 0.0271232446814622]
1;[276, '540', 0.027010489741080928]
1;[277, '172', 0.02697456319631587]
1;[278, '506', 0.02692707347466114]
1;[279, '144', 0.026675747728891173]
1;[280, '1042', 0.026674786435655004]
1;[281, '310', 0.02661731017893238]
1;[282, '871', 0.026590154762889732]
1;[283, '224', 0.026428092106812635]
